Anio,Tipo,Sector,Gas,Cantidad
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,CH4 (t),806321.298144
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,CO (t),412730.93038400006
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,CO2 (t),82799.54358990003
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,N2O (t),43141.212686148
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,NH3 (t),316195.947972
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),SOx (t),1863.5104000000006
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),NOx (t),44597.383847000005
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),COVNM (t),1247113.394757
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),CH4 (t),80783.25447000001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),CO (t),267873.72024000005
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),CO2 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),N2O (t),22604.365449999994
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),NH3 (t),4062.1155
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otras fuentes y sumideros (naturaleza),PFC (t),0.0
1990,METALES PESADOS,Combustión en la producción y transformación de energía,As (t),4.6208407312999995
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Cd (t),3.9712305853500003
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Cr (t),12.086168008240001
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Cu (t),8.45628786133
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Hg (t),5.08378352444
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Ni (t),133.93579048127
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Pb (t),6.633617523030001
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Se (t),4.11877953628
1990,METALES PESADOS,Combustión en la producción y transformación de energía,Zn (t),19.305226910519995
1990,METALES PESADOS,Combustión en la producción y transformación de energía,"PM2,5 (t)",0.085167
1990,METALES PESADOS,Combustión en la producción y transformación de energía,PM10 (t),0.085167
1990,METALES PESADOS,Combustión en la producción y transformación de energía,PST (t),45131.235167
1990,METALES PESADOS,Combustión en la producción y transformación de energía,BC (t),0.0
1990,METALES PESADOS,Plantas de combustión no industrial,As (t),0.7637271430000003
1990,METALES PESADOS,Plantas de combustión no industrial,Cd (t),0.22399249800000007
1990,METALES PESADOS,Plantas de combustión no industrial,Cr (t),0.7565674849999999
1990,METALES PESADOS,Plantas de combustión no industrial,Cu (t),0.7637271430000003
1990,METALES PESADOS,Plantas de combustión no industrial,Hg (t),0.20659975199999997
1990,METALES PESADOS,Plantas de combustión no industrial,Ni (t),1.3419449110000001
